"Cl&eacute; de traduction",Traduction
ADDRESS_LINE_1,"Adresse (ligne 1)"
ADDRESS_LINE_2,"Adresse (ligne 2)"
ADD_AGAIN,"Ajouter à nouveau"
ADD_TO_BASKET,"Ajouter au panier"
ADD_TO_COMPARISON,"Ajouter à la comparaison"
ADD_TO_QUICKLINKS,"Ajouter aux liens rapides"
ALL,Tout
ALL_FEATURES,"Toutes les fonctionnalités"
Analytics,Analytique
ANNOUNCEMENTS,Annonces
"Application mobile","Application mobile"
AREAS_OF_INTEREST,"Domaines d'intérêt"
Authentification,Authentification
AWARD_TAB,Récompenses
Back,Back
"Backend access","Accès Backoffice"
BackgroundColor,"Couleur de fond"
BackgroundImage,"Image de fond"
BACKOFFICE,Backoffice
BACK_TO_LIST,"Retour à la liste"
Banner,Bannière
BANNER_SAMPLE,"Les nouvelles technologies au futur quotidien"
BROWSE,Parcourir
BROWSE_PRODUCTS,"Parcourir les produits"
BUSINESS_PROFILE,"Profil professionnel"
Carousel,Carrousel
CATEGORIES,Catégories
CERTIFICATE,Certificat
CHANGE_MAIL_CONFIRMATION,"Un e-mail vous a été envoyé avec un lien pour confirmer le changement."
CHANGE_MAIL_ERROR_PWD_TEXT,"Mot de passe non valable"
CHANGE_MAIL_ERROR_TOKEN,"CHANGE_MAIL_ERROR_TOKEN - to be translated"
CHANGE_MAIL_LABEL,"Changement d'email"
CHANGE_MAIL_MAIL_SUBJECT,"Changement d'email utilisateur"
CHANGE_MAIL_MAIL_TEXT,"<p>Veuillez cliquer sur le lien ci-dessous pour procéder au changement de courriel</p>
<p>##URL##</p>"
CHANGE_MAIL_TEXT_PRESENTATION,"Veuillez saisir votre mot de passe pour confirmer votre nouvel adresse électronique"
CHANGE_VIEW,"Modifier l'affichage"
CHOOSE_ALL,"Choisir tout"
CHOOSE_LOGITECH_DISTRIBUTOR,"CHOOSE_LOGITECH_DISTRIBUTOR - N/A"
CHOOSE_SITE,"Choisissez votre site"
CITY,Ville
